                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.89894,                0.81558,                 1.2282,                0.75799,                0.65238,                0.69841,                0.51784,                 1.3859,                 1.5158,                 1.5105,              0.0006387,              0.0006387,              0.0006387
                     90,                 0.8975,                0.82079,                 1.2261,                0.76326,                 0.6675,                0.71599,                0.52414,                 1.4357,                 1.4811,                 1.5751,              0.0006288,              0.0006288,              0.0006288
                     91,                0.88622,                0.80378,                  1.222,                0.78894,                0.66014,                 0.6998,                0.51697,                 1.4177,                 1.5143,                 1.5778,              0.0006189,              0.0006189,              0.0006189
                     92,                0.88353,                0.79139,                 1.2224,                0.80605,                0.66523,                0.71835,                0.51823,                 1.4006,                 1.5132,                 1.5473,               0.000609,               0.000609,               0.000609
                     93,                0.88554,                0.80654,                  1.219,                0.80614,                0.69282,                 0.7406,                 0.5436,                  1.365,                 1.4612,                  1.521,              0.0005991,              0.0005991,              0.0005991
                     94,                0.87803,                0.79552,                 1.2174,                0.75462,                0.69593,                0.73611,                0.53467,                 1.3588,                 1.3859,                 1.5064,              0.0005892,              0.0005892,              0.0005892
                     95,                0.86727,                0.76955,                 1.2051,                0.77217,                0.68056,                0.73245,                0.53495,                 1.3205,                 1.4554,                 1.4678,              0.0005793,              0.0005793,              0.0005793
                     96,                0.87148,                0.76823,                 1.2079,                0.78499,                0.69527,                0.73632,                0.53748,                   1.36,                 1.5126,                 1.4959,              0.0005694,              0.0005694,              0.0005694
                     97,                0.86954,                 0.7796,                 1.2111,                0.76212,                0.71406,                0.76082,                0.55782,                 1.3297,                 1.4433,                 1.4888,              0.0005595,              0.0005595,              0.0005595
                     98,                0.87662,                0.75792,                 1.2124,                 0.8185,                0.73204,                0.77754,                0.56464,                 1.3457,                  1.296,                 1.4866,              0.0005496,              0.0005496,              0.0005496
                     99,                 0.8738,                0.75603,                 1.1998,                0.78405,                0.70099,                0.74287,                0.54763,                 1.3431,                 1.4029,                  1.476,              0.0005397,              0.0005397,              0.0005397
                    100,                 0.8577,                0.76146,                 1.1984,                0.75471,                0.68056,                0.72271,                0.53487,                 1.3566,                 1.4978,                 1.5167,              0.0005298,              0.0005298,              0.0005298
                    101,                0.84712,                0.74392,                 1.1894,                0.76331,                0.71487,                0.73357,                0.54464,                  1.331,                 1.4268,                 1.4816,              0.0005199,              0.0005199,              0.0005199
                    102,                0.86575,                0.76229,                 1.2051,                0.80032,                0.73121,                0.76568,                0.55527,                  1.342,                  1.348,                  1.475,                0.00051,                0.00051,                0.00051
                    103,                0.85362,                0.75401,                 1.1898,                0.83008,                0.70344,                0.74825,                 0.5496,                 1.3295,                 1.3678,                 1.4627,              0.0005001,              0.0005001,              0.0005001
                    104,                0.84404,                0.74113,                 1.1926,                0.78869,                0.72672,                0.75793,                0.54988,                 1.3338,                 1.3668,                 1.4662,              0.0004902,              0.0004902,              0.0004902
                    105,                0.85985,                0.76165,                 1.1989,                0.73937,                0.73244,                0.74894,                0.55298,                 1.3323,                 1.4109,                 1.4615,              0.0004803,              0.0004803,              0.0004803
                    106,                0.85438,                0.74185,                 1.1967,                0.85045,                0.69396,                0.75224,                0.54848,                   1.32,                 1.4007,                 1.4578,              0.0004704,              0.0004704,              0.0004704
                    107,                0.83995,                0.73137,                 1.1856,                0.83832,                0.69547,                0.75842,                0.55142,                 1.3393,                 1.3179,                 1.4572,              0.0004605,              0.0004605,              0.0004605
                    108,                0.84777,                0.74101,                 1.1963,                0.80123,                0.67894,                0.74244,                0.54151,                 1.3641,                  1.379,                 1.4748,              0.0004506,              0.0004506,              0.0004506
                    109,                0.85537,                0.74229,                 1.1928,                0.82529,                0.69631,                0.75083,                0.55028,                 1.3618,                 1.4241,                 1.4678,              0.0004407,              0.0004407,              0.0004407
                    110,                0.83438,                0.69935,                  1.181,                0.76671,                0.71565,                0.75232,                 0.5575,                 1.3264,                 1.4051,                 1.4534,              0.0004308,              0.0004308,              0.0004308
                    111,                0.84509,                0.72005,                 1.1896,                0.77726,                0.72631,                0.75851,                0.55589,                 1.3666,                 1.4011,                 1.4868,              0.0004209,              0.0004209,              0.0004209
                    112,                0.84438,                0.72722,                 1.1817,                0.81741,                0.75041,                0.78568,                0.56698,                 1.3362,                 1.3126,                 1.4532,               0.000411,               0.000411,               0.000411
                    113,                 0.8284,                0.70966,                 1.1779,                0.80045,                0.73285,                0.77508,                0.56884,                 1.3154,                 1.3796,                 1.4486,              0.0004011,              0.0004011,              0.0004011
                    114,                0.82941,                0.71237,                 1.1746,                0.81904,                0.71406,                0.77096,                0.56417,                 1.3258,                 1.3375,                 1.4485,              0.0003912,              0.0003912,              0.0003912
                    115,                0.83214,                0.69797,                 1.1744,                0.79977,                0.73196,                 0.7596,                0.55604,                 1.3215,                  1.351,                 1.4385,              0.0003813,              0.0003813,              0.0003813
                    116,                0.82566,                0.70546,                  1.176,                0.85666,                0.67566,                0.74629,                0.54622,                 1.3918,                 1.4295,                 1.4959,              0.0003714,              0.0003714,              0.0003714
                    117,                0.82122,                 0.6894,                 1.1745,                0.79268,                0.68819,                0.72884,                0.53764,                 1.4055,                 1.4793,                 1.5048,              0.0003615,              0.0003615,              0.0003615
                    118,                0.81731,                0.69024,                 1.1664,                0.74375,                0.71324,                0.73758,                0.54911,                 1.3564,                 1.5032,                 1.4714,              0.0003516,              0.0003516,              0.0003516
                    119,                0.82835,                0.70696,                 1.1756,                0.79757,                0.71365,                0.76135,                0.56042,                 1.3369,                 1.4584,                   1.47,              0.0003417,              0.0003417,              0.0003417
                    120,                0.81383,                0.69016,                 1.1656,                 0.8435,                0.70426,                0.76424,                0.55718,                 1.3104,                 1.3633,                  1.449,              0.0003318,              0.0003318,              0.0003318
                    121,                0.81114,                0.68423,                 1.1661,                0.84681,                0.70589,                 0.7666,                0.56089,                 1.3308,                 1.3546,                 1.4639,              0.0003219,              0.0003219,              0.0003219
                    122,                0.81339,                0.68132,                 1.1616,                0.79556,                0.73734,                0.76846,                0.56371,                 1.2947,                 1.3323,                 1.4314,               0.000312,               0.000312,               0.000312
                    123,                0.79814,                 0.6766,                 1.1538,                0.86891,                0.72063,                0.78658,                0.57534,                 1.3202,                 1.2904,                 1.4524,              0.0003021,              0.0003021,              0.0003021
                    124,                0.80857,                0.66922,                 1.1577,                0.83965,                0.73162,                0.77249,                0.56241,                 1.3453,                 1.3306,                 1.4609,              0.0002922,              0.0002922,              0.0002922
                    125,                0.79977,                0.66655,                 1.1566,                0.87423,                0.71406,                0.78088,                  0.568,                 1.3239,                 1.3282,                 1.4404,              0.0002823,              0.0002823,              0.0002823
                    126,                0.80629,                0.67722,                 1.1593,                0.83167,                0.75123,                0.78441,                0.56865,                 1.3231,                 1.2698,                 1.4517,              0.0002724,              0.0002724,              0.0002724
